08.05;[dɪˈsiːst];../data/audio/deceased.mp3;Common case:;“The deceased was a renowned scientist.” (Усопший был известным ученым.);“This deceased was a brave soldier.” (Этот усопший был смелым солдатом.);Genitive case:;The family mourned the loss of the deceased.” (Семья оплакивала утрату усопшего.);“The inheritance went to the deceased’s children.” (Наследство досталось детям усопшего.);Plural form:;"Many deceased were honored at the memorial service."(Многие покойные были почтены на мемориальной службе.);"The city built a monument to remember all the deceased from the war." (Город построил памятник в честь всех покойных, погибших на войне.);Accusative case:;“They paid their respects to the deceased.” (Они почтили память усопшего.);“The storm damaged the tombstone of the deceased.” (Шторм повредил надгробие усопшего.)
13.06;[dɪˈsiːst];../data/audio/deceased.mp3;Common case:;“The deceased was a renowned scientist.” (Усопший был известным ученым.);“This deceased was a brave soldier.” (Этот усопший был смелым солдатом.);Genitive case:;The family mourned the loss of the deceased.” (Семья оплакивала утрату усопшего.);“The inheritance went to the deceased’s children.” (Наследство досталось детям усопшего.);Plural form:;"Many deceased were honored at the memorial service."(Многие покойные были почтены на мемориальной службе.);"The city built a monument to remember all the deceased from the war." (Город построил памятник в честь всех покойных, погибших на войне.);Accusative case:;“They paid their respects to the deceased.” (Они почтили память усопшего.);“The storm damaged the tombstone of the deceased.” (Шторм повредил надгробие усопшего.)
14.06;[ˈlɛɡəsi];../data/audio/legacy.mp3;Common case:;“The novel will be his legacy.” (Этот роман станет его наследием.);“The scars are the legacy of chicken pox.” (Шрамы — это последствия ветрянки.);Genitive case:;"“Many people want to leave a legacy to a charity they have supported all their lives.” (Многие люди хотят оставить наследие благотворительной организации, которую они поддерживали всю жизнь.)";“The policies of the last ten years are responsible for the legacy of huge consumer debt.” (Политика последних десяти лет отвечает за наследие огромного потребительского долга.);Plural form:;"The legacies of great artists continue to inspire generations." (Наследства великих художников продолжают вдохновлять поколения.);"Some families received unexpected legacies after the reading of the will."(Некоторые семьи получили неожиданные наследства после оглашения завещания.) ;Accusative case:;“She received a small legacy from her aunt.” (Она получила небольшое наследство от своей тёти.);“He left his children a legacy of love and respect.” (Детям своим он оставил в наследство любовь и уважение.)
15.06;[ɪˈmɜrdʒənsi];../data/audio/emergency.mp3;Common case:;“The emergency was unexpected and required immediate action.” (Это была неожиданная ситуация, требующая немедленных действий.)";“This emergency poses a serious threat to public safety.” (Эта ситуация представляет серьезную угрозу общественной безопасности.);Genitive case:;“The response to the emergency was swift and effective.” (Реакция на ситуацию была быстрой и эффективной.);“The impact of the emergency on the environment was significant.” (Воздействие ситуации на окружающую среду было значительным.);Plural form:;"Hospitals must always be prepared to handle medical emergencies."(Больницы всегда должны быть готовы к медицинским чрезвычайным ситуациям.);"Natural disasters often lead to multiple emergencies at once."(Природные катастрофы часто приводят к нескольким чрезвычайным ситуациям одновременно.);Accusative case:;“They managed to contain the emergency before it escalated.” (Им удалось предотвратить эскалацию ситуации.);“The emergency response team arrived promptly.” (Команда по реагированию на ситуации прибыла незамедлительно.)
16.06;[əkˈsɛs(ə)ri];../data/audio/accessory.mp3;Common case:;“The accessory complements her outfit.” (Аксессуар дополняет ее наряд.);“This accessory is stylish.” (Этот аксессуар стильный.);Genitive case:;“She admired the accessory’s craftsmanship.” (Она восхищалась мастерством аксессуара.);“The value of the accessory was evident.” (Ценность аксессуара была очевидной.);Plural form:;"She bought several accessories to match her new dress."(Она купила несколько аксессуаров, чтобы они подходили к ее новому платью.);"Modern phones come with a variety of accessories for different needs."(Современные телефоны продаются с разнообразными аксессуарами для разных нужд.);Accusative case:;She wore the accessory with pride.” (Она носила аксессуар с гордостью.);“The storm damaged the accessory.” (Шторм повредил аксессуар.)
17.06;[breɪv];../data/audio/brave.mp3;Common case:;“The brave knight rode into battle.” (Смелый рыцарь вступил в бой.);“She admired his brave decision.” (Она восхищалась его смелым решением.);Genitive case:;“The bravery of the soldiers was commendable.” (Смелость солдат была похвальной.);“He showed great courage in the face of danger.” (Он проявил большое мужество перед опасностью.);Plural form:;"The braves stood fearlessly in front of danger, ready to defend their land."(Смельчаки бесстрашно стояли перед лицом опасности, готовые защитить свою землю.);"Only the true braves dare to explore the deepest jungles."(Только настоящие смельчаки осмеливаются исследовать самые глубокие джунгли.);Accusative case:;“They honored the brave heroes.” (Они почтили смелых героев.);“The brave explorer faced many challenges.” (Смелый исследователь столкнулся с многими трудностями.)
18.06;[ˈstəːnli];../data/audio/sternly.mp3;Common case:; “The teacher sternly told the students to quiet down and pay attention.” (Учитель строго сказал ученикам замолчать и обратить внимание.);“She spoke sternly about the importance of punctuality.” (Она говорила строго о важности пунктуальности.);Genitive case:;“His sternness was evident in his strict rules.” (Его строгость была очевидной в его жестких правилах.) ;“The manager addressed the issue with sternness.” (Менеджер рассмотрел вопрос с строгостью.);Plural form:;"The teacher spoke sternly to the students who broke the rules."(Учитель строго поговорил с учениками, которые нарушили правила.);"Parents sometimes need to act sternly when their children misbehave."(Родителям иногда нужно действовать строго, если их дети плохо себя ведут.);Accusative case:;“The judge delivered a stern verdict.” (Судья вынес строгий вердикт.) ;“She handled the situation sternly.” (Она решительно разрешила ситуацию.)
19.06;[dɪˈsiːst];../data/audio/deceased.mp3;Common case:;“The deceased was a renowned scientist.” (Усопший был известным ученым.);“This deceased was a brave soldier.” (Этот усопший был смелым солдатом.);Genitive case:;The family mourned the loss of the deceased.” (Семья оплакивала утрату усопшего.);“The inheritance went to the deceased’s children.” (Наследство досталось детям усопшего.);Plural form:;"Many deceased were honored at the memorial service."(Многие покойные были почтены на мемориальной службе.);"The city built a monument to remember all the deceased from the war." (Город построил памятник в честь всех покойных, погибших на войне.);Accusative case:;“They paid their respects to the deceased.” (Они почтили память усопшего.);“The storm damaged the tombstone of the deceased.” (Шторм повредил надгробие усопшего.)
20.06;[ˈlɛɡəsi];../data/audio/legacy.mp3;Common case:;“The novel will be his legacy.” (Этот роман станет его наследием.);“The scars are the legacy of chicken pox.” (Шрамы — это последствия ветрянки.);Genitive case:;"“Many people want to leave a legacy to a charity they have supported all their lives.” (Многие люди хотят оставить наследие благотворительной организации, которую они поддерживали всю жизнь.)";“The policies of the last ten years are responsible for the legacy of huge consumer debt.” (Политика последних десяти лет отвечает за наследие огромного потребительского долга.);Plural form:;"The legacies of great artists continue to inspire generations." (Наследства великих художников продолжают вдохновлять поколения.);"Some families received unexpected legacies after the reading of the will."(Некоторые семьи получили неожиданные наследства после оглашения завещания.) ;Accusative case:;“She received a small legacy from her aunt.” (Она получила небольшое наследство от своей тёти.);“He left his children a legacy of love and respect.” (Детям своим он оставил в наследство любовь и уважение.)
21.06;[ɪˈmɜrdʒənsi];../data/audio/emergency.mp3;Common case:;“The emergency was unexpected and required immediate action.” (Это была неожиданная ситуация, требующая немедленных действий.)";“This emergency poses a serious threat to public safety.” (Эта ситуация представляет серьезную угрозу общественной безопасности.);Genitive case:;“The response to the emergency was swift and effective.” (Реакция на ситуацию была быстрой и эффективной.);“The impact of the emergency on the environment was significant.” (Воздействие ситуации на окружающую среду было значительным.);Plural form:;"Hospitals must always be prepared to handle medical emergencies."(Больницы всегда должны быть готовы к медицинским чрезвычайным ситуациям.);"Natural disasters often lead to multiple emergencies at once."(Природные катастрофы часто приводят к нескольким чрезвычайным ситуациям одновременно.);Accusative case:;“They managed to contain the emergency before it escalated.” (Им удалось предотвратить эскалацию ситуации.);“The emergency response team arrived promptly.” (Команда по реагированию на ситуации прибыла незамедлительно.)
22.06;[əkˈsɛs(ə)ri];../data/audio/accessory.mp3;Common case:;“The accessory complements her outfit.” (Аксессуар дополняет ее наряд.);“This accessory is stylish.” (Этот аксессуар стильный.);Genitive case:;“She admired the accessory’s craftsmanship.” (Она восхищалась мастерством аксессуара.);“The value of the accessory was evident.” (Ценность аксессуара была очевидной.);Plural form:;"She bought several accessories to match her new dress."(Она купила несколько аксессуаров, чтобы они подходили к ее новому платью.);"Modern phones come with a variety of accessories for different needs."(Современные телефоны продаются с разнообразными аксессуарами для разных нужд.);Accusative case:;She wore the accessory with pride.” (Она носила аксессуар с гордостью.);“The storm damaged the accessory.” (Шторм повредил аксессуар.)
23.06;[breɪv];../data/audio/brave.mp3;Common case:;“The brave knight rode into battle.” (Смелый рыцарь вступил в бой.);“She admired his brave decision.” (Она восхищалась его смелым решением.);Genitive case:;“The bravery of the soldiers was commendable.” (Смелость солдат была похвальной.);“He showed great courage in the face of danger.” (Он проявил большое мужество перед опасностью.);Plural form:;"The braves stood fearlessly in front of danger, ready to defend their land."(Смельчаки бесстрашно стояли перед лицом опасности, готовые защитить свою землю.);"Only the true braves dare to explore the deepest jungles."(Только настоящие смельчаки осмеливаются исследовать самые глубокие джунгли.);Accusative case:;“They honored the brave heroes.” (Они почтили смелых героев.);“The brave explorer faced many challenges.” (Смелый исследователь столкнулся с многими трудностями.)
24.06;[ˈstəːnli];../data/audio/sternly.mp3;Common case:; “The teacher sternly told the students to quiet down and pay attention.” (Учитель строго сказал ученикам замолчать и обратить внимание.);“She spoke sternly about the importance of punctuality.” (Она говорила строго о важности пунктуальности.);Genitive case:;“His sternness was evident in his strict rules.” (Его строгость была очевидной в его жестких правилах.) ;“The manager addressed the issue with sternness.” (Менеджер рассмотрел вопрос с строгостью.);Plural form:;"The teacher spoke sternly to the students who broke the rules."(Учитель строго поговорил с учениками, которые нарушили правила.);"Parents sometimes need to act sternly when their children misbehave."(Родителям иногда нужно действовать строго, если их дети плохо себя ведут.);Accusative case:;“The judge delivered a stern verdict.” (Судья вынес строгий вердикт.) ;“She handled the situation sternly.” (Она решительно разрешила ситуацию.)
25.06;[dɪˈsiːst];../data/audio/deceased.mp3;Common case:;“The deceased was a renowned scientist.” (Усопший был известным ученым.);“This deceased was a brave soldier.” (Этот усопший был смелым солдатом.);Genitive case:;The family mourned the loss of the deceased.” (Семья оплакивала утрату усопшего.);“The inheritance went to the deceased’s children.” (Наследство досталось детям усопшего.);Plural form:;"Many deceased were honored at the memorial service."(Многие покойные были почтены на мемориальной службе.);"The city built a monument to remember all the deceased from the war." (Город построил памятник в честь всех покойных, погибших на войне.);Accusative case:;“They paid their respects to the deceased.” (Они почтили память усопшего.);“The storm damaged the tombstone of the deceased.” (Шторм повредил надгробие усопшего.)
26.06;[ˈlɛɡəsi];../data/audio/legacy.mp3;Common case:;“The novel will be his legacy.” (Этот роман станет его наследием.);“The scars are the legacy of chicken pox.” (Шрамы — это последствия ветрянки.);Genitive case:;"“Many people want to leave a legacy to a charity they have supported all their lives.” (Многие люди хотят оставить наследие благотворительной организации, которую они поддерживали всю жизнь.)";“The policies of the last ten years are responsible for the legacy of huge consumer debt.” (Политика последних десяти лет отвечает за наследие огромного потребительского долга.);Plural form:;"The legacies of great artists continue to inspire generations." (Наследства великих художников продолжают вдохновлять поколения.);"Some families received unexpected legacies after the reading of the will."(Некоторые семьи получили неожиданные наследства после оглашения завещания.) ;Accusative case:;“She received a small legacy from her aunt.” (Она получила небольшое наследство от своей тёти.);“He left his children a legacy of love and respect.” (Детям своим он оставил в наследство любовь и уважение.)
27.06;[ɪˈmɜrdʒənsi];../data/audio/emergency.mp3;Common case:;“The emergency was unexpected and required immediate action.” (Это была неожиданная ситуация, требующая немедленных действий.)";“This emergency poses a serious threat to public safety.” (Эта ситуация представляет серьезную угрозу общественной безопасности.);Genitive case:;“The response to the emergency was swift and effective.” (Реакция на ситуацию была быстрой и эффективной.);“The impact of the emergency on the environment was significant.” (Воздействие ситуации на окружающую среду было значительным.);Plural form:;"Hospitals must always be prepared to handle medical emergencies."(Больницы всегда должны быть готовы к медицинским чрезвычайным ситуациям.);"Natural disasters often lead to multiple emergencies at once."(Природные катастрофы часто приводят к нескольким чрезвычайным ситуациям одновременно.);Accusative case:;“They managed to contain the emergency before it escalated.” (Им удалось предотвратить эскалацию ситуации.);“The emergency response team arrived promptly.” (Команда по реагированию на ситуации прибыла незамедлительно.)
28.06;[əkˈsɛs(ə)ri];../data/audio/accessory.mp3;Common case:;“The accessory complements her outfit.” (Аксессуар дополняет ее наряд.);“This accessory is stylish.” (Этот аксессуар стильный.);Genitive case:;“She admired the accessory’s craftsmanship.” (Она восхищалась мастерством аксессуара.);“The value of the accessory was evident.” (Ценность аксессуара была очевидной.);Plural form:;"She bought several accessories to match her new dress."(Она купила несколько аксессуаров, чтобы они подходили к ее новому платью.);"Modern phones come with a variety of accessories for different needs."(Современные телефоны продаются с разнообразными аксессуарами для разных нужд.);Accusative case:;She wore the accessory with pride.” (Она носила аксессуар с гордостью.);“The storm damaged the accessory.” (Шторм повредил аксессуар.)
29.06;[breɪv];../data/audio/brave.mp3;Common case:;“The brave knight rode into battle.” (Смелый рыцарь вступил в бой.);“She admired his brave decision.” (Она восхищалась его смелым решением.);Genitive case:;“The bravery of the soldiers was commendable.” (Смелость солдат была похвальной.);“He showed great courage in the face of danger.” (Он проявил большое мужество перед опасностью.);Plural form:;"The braves stood fearlessly in front of danger, ready to defend their land."(Смельчаки бесстрашно стояли перед лицом опасности, готовые защитить свою землю.);"Only the true braves dare to explore the deepest jungles."(Только настоящие смельчаки осмеливаются исследовать самые глубокие джунгли.);Accusative case:;“They honored the brave heroes.” (Они почтили смелых героев.);“The brave explorer faced many challenges.” (Смелый исследователь столкнулся с многими трудностями.)
30.06;[ˈstəːnli];../data/audio/sternly.mp3;Common case:; “The teacher sternly told the students to quiet down and pay attention.” (Учитель строго сказал ученикам замолчать и обратить внимание.);“She spoke sternly about the importance of punctuality.” (Она говорила строго о важности пунктуальности.);Genitive case:;“His sternness was evident in his strict rules.” (Его строгость была очевидной в его жестких правилах.) ;“The manager addressed the issue with sternness.” (Менеджер рассмотрел вопрос с строгостью.);Plural form:;"The teacher spoke sternly to the students who broke the rules."(Учитель строго поговорил с учениками, которые нарушили правила.);"Parents sometimes need to act sternly when their children misbehave."(Родителям иногда нужно действовать строго, если их дети плохо себя ведут.);Accusative case:;“The judge delivered a stern verdict.” (Судья вынес строгий вердикт.) ;“She handled the situation sternly.” (Она решительно разрешила ситуацию.)
